,Visitor,Home,R-Coefficient,Home_Score,Visitor_Score,Prediction,Winner,Logic,Historical Home Win Record
41,MEM,LAC,0.7098742016239354,98.27027027027027,96.43243243243244,MEM,MEM,1,0.6
42,UTA,ORL,0.7411483781935296,99.9375,97.375,UTA,UTA,1,0.75
43,TOR,BKN,0.5420417769772372,103.83333333333333,97.76190476190476,TOR,TOR,1,0.8181818181818182
44,OKC,CLE,0.7675734372554857,101.8125,100.1875,CLE,OKC,0,0.5
45,DEN,WAS,0.7070465697766459,109.70588235294117,102.82352941176471,DEN,WAS,0,0.6
46,MIL,SAS,0.6114727265109613,98.375,104.0625,SAS,MIL,0,0.5
47,DET,GSW,0.8060354203872637,101.0,98.5,GSW,DET,0,0.5
48,IND,ATL,0.7274007353451994,101.89473684210526,95.0,IND,ATL,0,0.8
49,BOS,CHI,0.6478401754598727,100.94444444444444,96.94444444444444,BOS,BOS,1,0.5555555555555556
50,CHA,DAL,0.6058790466827739,93.9375,99.8125,DAL,CHA,0,0.25
51,NOP,SAC,0.681470806223385,103.53333333333333,99.53333333333333,NOP,NOP,1,0.625
52,NYK,LAC,0.733137300631568,101.3125,105.25,NYK,LAC,0,0.75
53,MIN,CLE,0.7884038050892497,100.3125,100.125,CLE,MIN,0,0.5
54,DET,LAL,0.6943037283694166,97.6842105263158,92.15789473684211,DET,LAL,0,0.6
55,POR,MIA,0.7310327709906024,100.375,99.0625,MIA,MIA,1,0.5
56,MEM,PHX,0.8111554891594323,106.7,104.96666666666667,MEM,MEM,1,0.625
57,BKN,ORL,0.7478865362766446,96.89285714285714,95.78571428571429,BKN,ORL,0,0.5714285714285714
58,DEN,ATL,0.5690388112814613,108.82352941176471,102.6470588235294,DEN,DEN,1,0.6
59,CHI,DAL,0.6547115137459891,98.35,98.8,DAL,DAL,1,0.4
60,GSW,SAC,0.30193670782660287,111.07894736842105,102.15789473684211,GSW,SAC,0,1.0
61,OKC,PHI,0.6953608757479156,108.6875,101.0625,OKC,PHI,0,0.75
62,UTA,NOP,0.6598227895633,101.78571428571429,94.14285714285714,UTA,UTA,1,0.7142857142857143
63,MIL,SAS,0.6114727265109613,98.375,104.0625,SAS,SAS,1,0.5
64,SAC,GSW,0.6908847938158753,104.63157894736842,105.76315789473684,GSW,SAC,0,0.5
65,DET,CLE,0.5911175006757967,95.34042553191489,92.19148936170212,DET,DET,1,0.5833333333333334
66,OKC,BKN,0.8475701221352965,100.53333333333333,96.53333333333333,OKC,OKC,1,0.75
67,SAC,PHX,0.6646978536116883,107.225,104.675,SAC,SAC,1,0.6
68,POR,TOR,0.690761900258622,99.3157894736842,97.57894736842105,POR,POR,1,0.6
69,MIN,MEM,0.6390123365073321,98.28125,98.0,MEM,MEM,1,0.5
70,NYK,LAL,0.7514051601665063,103.5625,107.1875,LAL,LAL,1,0.5
